Title,Date Added,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Original Network,Netflix Exclusive Regions,Original,Type,Genre,Rating
Dragons: Rescue Riders,2019,7+,6.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
In the Shadow of the Moon,2019,18+,6.2,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Skylines,2019,-,7.6,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Sturgill Simpson Presents Sound & Fury,2019,-,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Politician,2019,16+,7.5,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Weeds on Fire,2018,-,6.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Much Loved,2017,-,6.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Joseph: King of Dreams,2011,all,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Malaal,2019,-,5.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Grandmaster,2019,13+,6.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Inmate,2019,-,7.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Hurricane Heist,2018,13+,5.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Def Comedy Jam 25,2017,-,6.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Restless Creature: Wendy Whelan,2017,-,7.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Print the Legend,2014,-,7.1,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Birders,2019,-,6.4,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Furie,2019,18+,5.8,1.0,0.0,0.0,0.0,Netflix,Selected territories,True,-,-,-
Leap!,2019,-,-,-,-,-,-,-,-,False,-,-,-
Oh! Baby (Malayalam),2019,-,-,-,-,-,-,-,-,False,-,-,-
Oh! Baby (Tamil),2019,-,-,-,-,-,-,-,-,False,-,-,-
USS Indianapolis: Men of Courage,2019,18+,5.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
A Wrinkle in Time,2018,7+,4.2,0.0,0.0,0.0,1.0,-,-,False,-,-,-
Teach Us All,2017,-,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
White Island,2017,-,4.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Inside Man: Most Wanted,2019,18+,5.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Jeff Dunham: Beside Himself,2019,18+,6.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
China Salesman,2018,-,-,-,-,-,-,-,-,False,-,-,-
Swearnet: The Movie,2017,18+,5.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Bar,2017,-,-,-,-,-,-,-,-,False,-,-,-
Manmadhudu 2,2019,-,-,-,-,-,-,-,-,False,-,-,-
Team Kaylie,2019,-,4.2,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Under the Eiffel Tower,2019,-,5.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Audrie & Daisy,2016,-,7.2,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Iliza Shlesinger: Confirmed Kills,2016,18+,6.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
BONDING,2019,-,-,-,-,-,-,-,-,False,-,-,-
Do Paise Ki Dhoop Chaar Aane Ki Baarish,2019,-,-,-,-,-,-,-,-,False,-,-,-
20 Feet From Stardom,2018,-,-,-,-,-,-,-,-,False,-,-,-
In Darkness,2018,-,5.8,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Gaga: Five Foot Two,2017,18+,7.0,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
The Bad Batch,2017,18+,5.3,1.0,0.0,0.0,0.0,Netflix,Selected territories,True,-,-,-
SMOSH: The Movie,2015,-,-,-,-,-,-,-,-,False,-,-,-
King of Boys,2019,-,5.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Merry Men: The Real Yoruba Demons,2019,-,6.0,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Sarah's Key,2019,13+,7.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Wedding Party 2: Destination Dubai,2019,13+,4.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Vagabond,2019,-,8.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Battlefish,2018,-,7.2,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
DRAGON PILOT: Hisone & Masotan,2018,-,-,-,-,-,-,-,-,False,-,-,-
Hilda,2018,7+,8.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Maniac,2018,16+,7.8,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Maniac,2018,-,7.0,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Maniac,2017,16+,7.8,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Maniac,2017,-,7.0,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Quincy,2018,18+,7.6,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Rafinha Bastos: Ultimatum,2018,18+,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Good Cop,2018,16+,7.0,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
The Good Cop,2018,-,7.5,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Between Two Ferns: The Movie,2019,18+,6.1,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Criminal: France,2019,7+,7.2,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Criminal: Germany,2019,-,-,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Criminal: Spain,2019,7+,6.9,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Criminal: UK,2019,18+,7.4,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Daddy Issues,2019,-,-,-,-,-,-,-,-,False,-,-,-
Inside Bill's Brain: Decoding Bill Gates,2019,16+,8.0,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
The Hockey Girls,2019,16+,7.0,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Travel Mates 2,2019,-,-,-,-,-,-,-,-,False,-,-,-
True: Tricky Treat Day,2019,-,7.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Two Sentence Horror Stories,2019,-,5.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Mad World,2018,-,7.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Mobile Suit Gundam UC,2018,-,-,-,-,-,-,-,-,False,-,-,-
The Bund,2018,-,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The First Line,2016,-,5.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Maynard,2018,-,-,-,-,-,-,-,-,False,-,-,-
Monkey Twins,2018,-,7.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Bitcoin Heist,2017,-,-,-,-,-,-,-,-,False,-,-,-
I Am Not Madame Bovary,2017,-,-,-,-,-,-,-,-,False,-,-,-
Vincent N Roxxy,2017,18+,5.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Chef's Table: France,2016,16+,8.3,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Kulipari: An Army of Frogs,2016,7+,6.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Miss Julie,2015,13+,5.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Kabir Singh,2019,-,7.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Océans,2019,-,-,-,-,-,-,-,-,False,-,-,-
The Endless,2018,-,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Transformers: Rescue Bots,2018,7+,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Jerry Before Seinfeld,2017,-,7.0,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Manhunt,2017,16+,8.1,1.0,0.0,0.0,0.0,Netflix,Selected territories including the US[277],True,-,-,-
Manhunt,2018,16+,8.1,1.0,0.0,0.0,0.0,Netflix,Selected territories including the US[277],True,-,-,-
"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",2016,-,-,-,-,-,-,-,-,False,-,-,-
"Katarzyna Piasecka, Rafał Pacześ Seriously Funny",2016,-,-,-,-,-,-,-,-,False,-,-,-
"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",2016,-,-,-,-,-,-,-,-,False,-,-,-
"Rafał Banaś, Michał Leja Laugh out Loud",2016,-,-,-,-,-,-,-,-,False,-,-,-
The Best of Rafał Rutkowski Olka Szczęśniak,2016,-,-,-,-,-,-,-,-,False,-,-,-
"Tomasz Jachimek, Jacek Stramik Laugh at Live",2016,-,-,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Come and Find Me,2019,18+,5.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
When the Camellia Blooms,2019,-,8.0,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Class Rank,2018,-,6.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Barbie Dolphin Magic,2017,-,-,-,-,-,-,-,-,False,-,-,-
Forget Me Not,2017,18+,5.2,0.0,0.0,1.0,0.0,-,-,False,-,-,-
The Beat,2017,-,-,-,-,-,-,-,-,False,-,-,-
Timeless Season,2017,-,-,-,-,-,-,-,-,False,-,-,-
Keith Richards: Under the Influence,2015,7+,7.1,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
A Haunting at Silver Falls: The Return,2019,18+,3.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Ancient Aliens,2019,7+,7.3,1.0,1.0,1.0,0.0,-,-,False,-,-,-
Avengement,2019,-,-,-,-,-,-,-,-,False,-,-,-
Clive Davis: The Soundtrack of Our Lives,2019,13+,7.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Five Elements Ninjas,2019,-,-,-,-,-,-,-,-,False,-,-,-
Sebastian Maniscalco: What's Wrong with People?,2019,16+,8.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Last Kids on Earth,2019,7+,7.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Witch,2018,18+,6.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Click for Murder,2017,-,-,1.0,0.0,0.0,0.0,-,-,False,-,-,-
I Am Wrath,2019,18+,5.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
"As Above, So Below",2018,18+,6.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Scott Pilgrim vs. the World,2018,13+,7.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
ARQ,2016,18+,6.4,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Cedric the Entertainer: Live from the Ville,2016,-,5.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Louis C.K.: Hilarious,2016,-,8.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Raiders!: The Story of the Greatest Fan Film Ever Made,2016,-,6.9,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The White Helmets,2016,16+,7.5,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
America's Book of Secrets,2019,7+,7.0,1.0,1.0,1.0,0.0,-,-,False,-,-,-
Bakugan: Battle Planet,2019,-,-,-,-,-,-,-,-,False,-,-,-
Cold Case Files,2019,18+,8.0,1.0,1.0,0.0,0.0,-,-,False,-,-,-
Los Tigres del Norte at Folsom Prison,2019,-,6.9,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Pawn Stars,2019,7+,7.2,0.0,1.0,0.0,0.0,-,-,False,-,-,-
Steal a Pencil for Me,2019,-,7.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Surviving R. Kelly,2019,18+,7.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Curse of Oak Island,2019,7+,7.0,1.0,1.0,0.0,0.0,-,-,False,-,-,-
The Outsider,2019,-,6.3,1.0,0.0,1.0,0.0,Netflix,Worldwide,True,-,-,-
The Outsider,2018,-,6.3,1.0,0.0,1.0,0.0,Netflix,Worldwide,True,-,-,-
The Rap Game,2019,7+,5.3,1.0,1.0,0.0,0.0,-,-,False,-,-,-
The Universe,2019,16+,8.8,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Al Hayba,2018,-,-,-,-,-,-,-,-,False,-,-,-
Arisan 2,2018,-,-,-,-,-,-,-,-,False,-,-,-
Cabins in the Wild with Dick Strawbridge,2018,7+,6.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Cardboard Gangsters,2018,-,6.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Eeda,2018,-,7.2,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Galih dan Ratna,2018,-,-,-,-,-,-,-,-,False,-,-,-
Gie,2018,-,7.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
​Goli Soda 2,2018,-,-,-,-,-,-,-,-,False,-,-,-
How to Live Mortgage Free with Sarah Beeny,2018,-,-,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Inside The Freemasons,2018,-,-,-,-,-,-,-,-,False,-,-,-
Jugaad,2018,-,5.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
​Maj Rati ​​Keteki,2018,-,-,1.0,0.0,0.0,0.0,-,-,False,-,-,-
​Mayurakshi,2018,-,-,-,-,-,-,-,-,False,-,-,-
Red Oleanders Raktokarobi,2018,-,7.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Samantaral,2018,-,7.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Secret,2018,7+,5.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
The Secret,2017,7+,5.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
First They Killed My Father,2017,18+,7.2,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Gagarin: First in Space,2017,13+,6.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Janaan,2017,-,7.1,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Larceny,2017,-,3.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Rumble,2017,-,3.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Strong Island,2017,-,6.4,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
The Five,2017,-,7.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Natural Born Pranksters,2016,-,-,-,-,-,-,-,-,False,-,-,-
Sample This,2016,-,-,-,-,-,-,-,-,False,-,-,-
Wartime Portraits,2016,-,-,-,-,-,-,-,-,False,-,-,-
Cowspiracy: The Sustainability Secret,2015,-,8.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Oh! Baby,2019,-,-,-,-,-,-,-,-,False,-,-,-
The Crystal Calls Making the Dark Crystal: Age of Resistance,2019,-,-,-,-,-,-,-,-,False,-,-,-
We Have Always Lived in the Castle,2019,-,5.6,0.0,0.0,1.0,0.0,-,-,False,-,-,-
Bangkok Hell,2018,-,-,-,-,-,-,-,-,False,-,-,-
Behind the Newsroom,2018,-,-,-,-,-,-,-,-,False,-,-,-
Bleach,2018,18+,8.1,1.0,1.0,0.0,0.0,Netflix,Worldwide except Japan,True,-,-,-
Bleach,2018,18+,8.1,1.0,1.0,0.0,0.0,Netflix,Worldwide except Japan,True,-,-,-
Boca Juniors Confidential,2018,all,6.5,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Car Masters: Rust to Riches,2018,-,8.9,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Norm Macdonald Has a Show,2018,-,8.7,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Still,2018,18+,4.4,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Super Monsters Monster Party,2018,-,-,-,-,-,-,-,-,False,-,-,-
The Angel,2018,18+,6.6,1.0,0.0,1.0,0.0,Netflix,Worldwide,True,-,-,-
The Land of Steady Habits,2018,-,6.2,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
The Rise of Phoenixes,2018,7+,8.6,1.0,0.0,0.0,0.0,-,-,False,-,-,-
American Warfighter,2019,-,-,-,-,-,-,-,-,False,-,-,-
Deviant Love,2019,16+,3.7,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Head Count,2019,-,5.3,1.0,0.0,0.0,0.0,-,-,False,-,-,-
"Hello, Privilege. It's Me, Chelsea",2019,-,4.1,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Kabaneri of the Iron Fortress: The Battle of Unato,2019,-,-,-,-,-,-,-,-,False,-,-,-
Locked on You,2019,-,-,-,-,-,-,-,-,False,-,-,-
Marianne,2019,18+,7.5,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Monarca,2019,18+,8.0,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Shanghai Fortress,2019,-,4.3,1.0,0.0,0.0,0.0,Netflix,Selected territories,True,-,-,-
Tall Girl,2019,7+,5.2,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Time Trap,2019,18+,6.5,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Top Boy,2019,18+,8.4,1.0,0.0,0.0,0.0,Channel 4,"Worldwide
",True,-,-,-
Top Boy,2017,18+,8.4,1.0,0.0,0.0,0.0,Channel 4,"Worldwide
",True,-,-,-
Unbelievable,2019,18+,8.4,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Reversing Roe,2018,-,7.3,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
Ghost of the Mountains,2017,all,6.8,1.0,0.0,0.0,0.0,-,-,False,-,-,-
Extremis,2016,7+,7.3,1.0,0.0,0.0,0.0,Netflix,Worldwide,True,-,-,-
